text,label
"Short-term securitization exposures demand their own set of risk weights, distinct from long-term instruments.",non-obligation
"As per List 6, certain members are not governed by the Comprehensive Interdiction.",non-obligation
Procedures. Protocols for the submission of electronic documents to the Authority.,non-obligation
"The Oversight Body might mandate a Corporation to collaborate, contribute, and deliver the particulars enumerated in Section B for the review of a Recovery Scheme for the Corporation or its Consortium.",non-obligation
"Partner APIs create a symbiotic tech ecosystem, facilitating unique collaborations between businesses.",non-obligation
The Authority may change the license by (a) prescribing a requirement; (b),non-obligation
"Functions and powers of the Regulator (1) The Regulator shall carry out such functions and shall have such powers as are conferred on it by or under the ADGM Founding Law and any enactment, including these Regulations. (2) The Regulator may do whatever it considers necessary for or in connection with, or reasonably incidental to, performing its functions and exercising its powers.",non-obligation
The copy must be accompanied by an indication of the Third Party's right to make a reference under subsection (9).,obligation
"A Fund Manager must take the action in (2) immediately, except in circumstances where it decides doing so would not be in the best interests of Unitholders, in which case the action must be taken as soon as such circumstances cease to apply.",obligation
Clause 7.2 must not be construed as diminishing the responsibilities assigned to the Committee by the International Trade Agreement.,non-obligation
"By following these directives, Authorised Persons contribute to the overall health and risk mitigation strategies within the financial sector.",non-obligation
CORE RULES RELATING TO ESTABLISHMENT AND MANAGEMENT OF DOMESTIC FUNDS,obligation
"All information provided or made available by the Authorised Person to a Retail Client in accordance with this Chapter must be provided or made available in English or the language they are most likely to comprehend, using easily understandable language and in a clear and comprehensible form.",obligation
"In complying with Rule 9.3.1, a Relevant Person should ensure that the service provider can be replaced with minimal disruption in the event the outsourcing arrangement is terminated.",obligation
Market Practice. If a person establishes that they carried out the conduct or practice for legitimate reasons and in conformance with an Accepted Market Practice (see section 92(4)). ,obligation
"API REQUIREMENTS Encryption The encryption of data, both at rest and in transit, should be included in the security policy. In particular, encryption and decryption of private keys should utilise encryption protocols, or use alternative algorithms that have broad acceptance with cyber security professionals. Critical cryptographic functions such as encryption, decryption, generation of private keys, and the use of digital signatures should only be performed within cryptographic modules complying with the highest, and ideally internationally recognised, applicable security standards. ",obligation
The firm must conduct the IRAP assessment at least annually giving due regard to the Guidance in Section A11.1 of App11.,obligation
"In the context of detecting Market Abuse, parties are encouraged to voluntarily disclose to the Regulator any trades or orders concerning Financial Instruments, Accepted Virtual Assets, or Accepted Spot Commodities, especially cancellations or changes that may be indicative of Insider Dealing or market manipulation.",non-obligation
"Purpose and process of the ICAAP. Any internal assessment of capital adequacy should address diversification benefits and transferability of Capital Resources between members of the Financial Group. It should also describe the distribution of the capital required by the Financial Group across all entities, including the Authorised Person.",obligation
Regulatory frameworks can be established to encompass all aspects of Regulated Activities without exception.,non-obligation
"The point at which a Person becomes a customer will vary from business to business. However, the Regulator considers that it would usually occur at or prior to the business relationship being formalised, for example, by the signing of a client agreement or the acceptance by the customer of terms of business.",obligation
"Unlike REST, SOAP's single-format approach underscores its preference for formal web service interaction.",non-obligation
Any alterations or dispensations pertaining to the Rules must be clearly articulated.,non-obligation
Rule 11.1.2 requires every Domestic Fund to have an auditor appointed to it in accordance with Section 189 of the FSMR and any Rules made for the purposes of that Part.,obligation
"This Formal Financial Appraisal (or Temporary Estimation) is critical in ascertaining the degree of reduction to be imposed on Subordinated Debt Instruments to offset deficits and the requisite conversion ratio to be enforced on these instruments to bolster the capital structure of the Financial Institution, its Parent Company, or its Subsidiary.",non-obligation
"Through the lens of an API, every data point becomes a potential spark for new ideas, collaborations, and solutions.",non-obligation
"The Rules may (a) make the same or similar provision in relation to the Charges to which they apply as is made by or under sections 179(1)(h) and 168 in relation to Collateral Security Arrangements; or (b) apply any of those provisions with such exceptions, additions or adaptations as are specified in the Rules.",obligation
"Fund Manager.In accordance with the Delegation Agreement, the Fund Manager: (a) must (save as otherwise permitted by these Rules) register the legal title of the Fund Property with the Eligible Custodian; and (b) may give instructions to the Eligible Custodian to deal with the Fund Property.",obligation
"Pursuant to paragraph 18(3), the provisions outlined in Schedule 2 of the Consumer Protection Code 2018 will be enforced in instances of non-compliance with advertising standards.",non-obligation
The Expenditure Based Capital Minimum is a component of the calculation of the Capital Requirement under Section 3.6 and is relevant in determining whether the Regulator has to be notified under Rule 3.20.2.,obligation
Insurance Monies,non-obligation
"(2)(a) Prior to dispatch, all items should be inspected for quality assurance.",non-obligation
"Where an unauthorised or incorrectly executed Third Party Transaction leads to a Payment Transaction, the Payment Transaction will be deemed to be unauthorised or incorrectly executed.",obligation
The Regulator must maintain the Official List. In maintaining the Official List the Regulator may refer to itself as the Listing Authority.,obligation
A Relevant Person must not:,non-obligation
A committed funding facility from a Parent entity referred to in (1) can be recognised as a cash inflow only from day 16 of the LCR scenario. The cash inflow from a Parent entity can be sufficient in size to cover only net cash outflows against items with a maturity or next call date between days 16 and 30 of the LCR.,obligation
"In line with section 12(d), parties engaged in transactions involving Interest Rate Swaps are entitled to expect disclosure of material facts pertaining to the relevant interest rates, consistent with Established Market Conventions, which encompasses (a) information habitually accessible to market participants; or (b) details that are mandated to be made public in accordance with legislative mandates, trading venue rules, or traditional protocols within the pertinent interest rate or Interest Rate Swaps markets.",non-obligation
"A variation takes effect (a) immediately, if the notice given states that that is the case; (b) on such date as is specified in the notice; or (c) if no date is specified in the notice, when the matter to which the notice relates is no longer open to review.",obligation
"Information, Documents and reports required under subsection (3) must be provided in English and be given at such times, in such form and at such place, and verified in such a manner, as the Regulator may direct.",obligation
"The Rules formulated under this Segment may dictate that the current provisions will be applicable with certain stipulations, alterations, or exceptions as mentioned in the Rules.",non-obligation
"An Authorised Person may establish separate Client Accounts for individual Clients, a single Client Account where Client Money is pooled, or both.",obligation
Continuous oversight is designed to preemptively address issues before they necessitate enforcement measures.,non-obligation
The Regulator's decision-making process under Rule 8.1.3 includes an analysis of the potential,non-obligation
The Authority reserves the right to revoke a license should the holder fail to comply with industry standards.,non-obligation
"Other Exposures asset class. Investments in equity or regulatory capital instruments issued by banks or Securities firms must be risk weighted at 100%, unless deducted from the capital base. ",obligation
Assessing the fitness and propriety of Approved Persons and Recognised Persons and Principal Representatives ,obligation
"A Captive Insurer must treat as a liability the value of future claims payments and associated direct and indirect settlement costs, arising from insured events that have occurred as at the Solvency Reference Date.",obligation
"The Board may make Rules requiring the payment of such periodic fees to the Regulator by Authorised Persons and Recognised Bodies, as the Rules specify.",non-obligation
Applications for recognition . Variation of a Recognition Order,obligation
 ,non-obligation
"Under provision (6), the standards found in paragraphs 33 to 37 of the Environmental Protection Guidelines shall be considered to have full force and effect upon the Inspecting Authority as though they were meticulously integrated into this framework.",non-obligation
"Risk measurement. Where an Authorised Person is a member of a Group, the Group should be able to monitor credit Exposures on a consolidated basis.",obligation
"Self-Insurance Pools enable entities to manage their own risks, functioning within the framework of a Class 1, Class 2, Class 3, or Class 4 Captive Insurer.",non-obligation
"For the purposes of this section, a Resolution Action shall be in the public interest (a) it is necessary for the achievement of and is proportionate to one or more of the Resolution Objectives in light of the Guiding Principles; and (b) Winding Up the Institution under Insolvency Proceedings would not meet the Resolution Objectives to the same extent.",non-obligation
"TECHNOLOGICAL EVOLUTION The digital landscape is constantly evolving, with blockchain technology leading a revolution in secure transactions. Smart contracts enabled by blockchain can automate and streamline processes, reducing the need for manual intervention and enhancing the trust and efficiency of financial agreements. Like APIs, blockchain's decentralized nature breaks down barriers and fosters a new era of transparency and collaboration across industries.",non-obligation
"Legal status of firms and Recognised Bodies. If the applicant is seeking to branch into the ADGM, we will take into account where the applicants head office is located. ",obligation
Advanced software tools are now available to automate the CRCOM calculation process.,non-obligation
"Nothing in this section affects the powers, rights or liabilities that any person may have apart from this section including the power to institute proceedings under section 242.",obligation
"App4 includes further Rules and Guidance on: a. fully and partially exempt Exposures, Exposures to undisclosed Counterparties, parental guarantees and capital maintenance agreements; b. identification of Exposures; c. identification of Closely Related and Connected Counterparties, and exemptions for Connected Counterparties; d. measuring Exposures to Counterparties and Issuers in relation to Derivatives, equity indices, and other items; and e. country risk Exposure. ",obligation
"Upon convening, members must verify the adherence to protocols before exercising power under section 48.",non-obligation
"The customer identification process does not end at the time of establishing a business relationship with a customer or, where relevant, undertaking a specific transaction or business activity on behalf of a customer. Following the start of the customer relationship, a Relevant Person should ensure that all relevant evidence and information is kept up to date including, for example, the list of authorised signatories who can act on behalf of a corporate customer.",obligation
"In deciding whether it is satisfied as mentioned in subsection (2), the Regulator must (a) consider whether the publication of the Direction would be detrimental to the stability of the Abu Dhabi Global Market Financial System; (b) take into account whether the Direction relates to a contravention which is actionable in accordance with section 242; and (c) consider whether publication of the Direction would prejudice, to an unreasonable degree, the commercial interests of the person concerned or any other member of the person's Group.",obligation
The statute will be active from the date of its establishment.,non-obligation
"When Client Money is transferred to a Third Party Agent, an Authorised Person continues to owe a fiduciary duty to the Client. However, an Authorised Person will not be held responsible for a shortfall in Client Money arising from the Failure of the Third Party Agent if it has complied with those duties by showing proper care and complying with Rules 14.6 and 14.7.",obligation
"The Agency may engage in any activities it believes are pertinent to, or indirectly related to, its regulatory function and power execution.",non-obligation
"Where appropriate, a Relevant Person should also utilise the methods described in paragraph 1 above to detect a range of Financial Crimes, including fraud. Bearing in mind the evolving nature of Financial Crime and the methods used to further it, a Relevant Person should apply best practice when determining which behaviours would be considered suspicious and what measures are required to detect suspicious activity and Transactions. Such practices may include, but are not limited to, incorporating the analysis of customer behaviour metrics into the monitoring of suspicious activity and Transactions.",obligation
According to Policy L3.5.7,non-obligation
"A Representative Office must ensure, as far as reasonably practical, that its Employees are fit proper.",obligation
The price of a Unit must be calculated on the basis of the valuation in Rule 12.4.1 in a manner that is fair and reasonable as between Unitholders.,obligation
An ADGM Climate Transition Fund must be a Domestic Fund that meets: (a) the Climate Transition Fund Investment Requirement; and (b) the Climate Transition Fund Attestation Requirement.,obligation
"Where a counterparty is included in an index on which a credit default swap used for hedging Counterparty Risk is based, the Authorised Person may subtract the notional amount attributable to that counterparty in accordance with its reference entity weight from the index credit default swap notional amount and treat it as a single name hedge (Bi) of the individual counterparty with maturity based on the maturity of the index.",obligation
The Regulator's jurisdiction includes enforcing trading suspensions to preempt market disruptions.,non-obligation
"Credit Risk mitigation. An Authorised Person must not recognise any SPE which is an Issuer of securitisation Exposures, as an eligible credit protection provider. Guarantees provided must meet the requirements of Section 4.13.",obligation
"In line with subsection 6.2.2, fiduciary duties extend to the safeguarding of client assets under management.",non-obligation
"For the purposes of the definition of ""Defaulter"", where a Recognised Clearing House or Remote Clearing House takes action under the rules referred to in the definition of ""Default Rules"", the action is to be treated as taken in respect of the Client providing the Indirect Clearing Services.",non-obligation
"Upon receipt of written notification in accordance with Rule 20.4.3, the Regulator will grant the Fund an ADGM Green Fund Designation or ADGM Climate Transition Fund Designation and publish the name and details of the Fund on a list of ADGM Green Funds or ADGM Climate Transition Funds maintained by the Regulator on its website.",obligation
The Regulator shall review the minimum requirement for Capital Resources and Eligible Liabilities and determine the appropriate level of the requirement.,obligation
"Should the decision-making body ascertain that an application is detrimental to its purposes, it has the authority to refuse it.",non-obligation
"A Relevant Person must establish and maintain effective systems and controls to ensure that on an ongoing basis it is properly informed as to, and takes reasonable measures to comply with, relevant resolutions or Sanctions which it is required to comply with, under the laws of the ADGM or any other jurisdiction.",obligation
"In identifying scenarios and assessing their impact, an Authorised Person should take into account how changes in circumstances might impact upon: a. the nature, scale and mix of future activities; and b. the behaviour of Counterparties, and of the Authorised Person itself, including the exercise of choices (including Options embedded in Financial Instruments).",obligation
"If the applicant is suitable participant for the FSRAs RegLab framework (refer to section 3) and meets the authorisation criteria (set out in section 5 above), it can proceed to complete and submit the RegLab Application Form.  A copy of the RegLab Application Form is attached at Appendix A to this Guidance and can be submitted to the Regulator by email at FinTech@adgm.com.",non-obligation
"The language of these Regulations is to be applied as written, unless the particular situation necessitates an alternative interpretation.",non-obligation
"""In these Regulations, 'employee' refers to any individual employed under a company contract.""",non-obligation
"We also have powers to investigate and address contraventions of our Common Reporting Standard Regulations 2017 and our Foreign Account Tax Compliance Regulations 2022 (Tax Reporting Regulations). We have set out our approach to enforcement activity relating to the Tax Reporting Regulations in its own section in GPM, see Chapter 11.",obligation
"The reconciliation called for in Rule 14.11.1 must include: (a) a full list of individual Client credit ledger balances, as recorded by the Authorised Person; (b) a full list of individual Client debit ledger balances, as recorded by the Authorised Person; (c) a full list of unpresented cheques and outstanding lodgements; (d) a full list of Client Account cash book balances; and (e) formal statements from Third-Party Agents showing account balances as at the date of reconciliation.",obligation
Regulated Activities An activity is a Regulated Activity if it is specified as a Regulated Activity in Schedule 1.,non-obligation
"An Authorised Person should also satisfy itself that an Employee: a. continues to be competent and capable of performing the role; b. has kept abreast of market, product, technology, legislative and regulatory developments that are relevant to the role, through training or other means; and c. is able to apply his knowledge. ",obligation
"A CSD must have rules and procedures, including robust accounting practices and controls that: (a) ensure the integrity of the securities issues; (b) ensure it has a definitive record of title to relevant securities at all times; and (c) minimise and manage risks associated with the safekeeping and transfer of securities.",obligation
"Subject to Rule 15.1.2, this chapter applies to Authorised Person holding or controlling Client Investments, including Authorised Persons which are engaged in the Regulated Activity of Providing Custody.",obligation
The Director has the flexibility to allocate resources as necessary.,non-obligation
"In section 260, a ""Participating Interest"" means an interest held by an Undertaking in the Shares of another Undertaking which it holds on a long term basis for the purpose of securing a contribution to its activities by the exercise of control or influence arising from or related to that interest.",obligation
"Each Authorised Person must, subject to (2), upon request by any Person, provide a copy of its most recent audited financial statements, together with the Financial Statement Auditor's Report to the Person. If the copy is made available in printed form, the Authorised Person may make a charge to cover reasonable costs incurred in providing the copy.",obligation
Enhanced capital requirements serve as a safeguard for investors and the financial system when early amortisation clauses are activated in securitisation deals.,non-obligation
"A Fund Manager must ensure that where a Person appointed pursuant to paragraph 36 has conducted valuations of the Real Property for the Fund for five consecutive years, that Person is retired.",obligation
"As of 11 December 2018, these regulations are officially in force, marking a significant advancement in banking oversight.",non-obligation
"For the context of this discussion, ""Systemic Risk"" refers to the potential for a disruption within the financial sector that could trigger a collapse in confidence across numerous institutions or the entire system.",non-obligation
The Regulator is empowered to delineate the prerequisites for an investment platform to be acknowledged as a Recognised Body.,non-obligation
Interpreting the Rulebook ,non-obligation
"As an example, a Financial Advisory company also offering Custodian services with client assets totaling $50mn and holding securities worth $75mn respectively, would need to calculate its Capital Adequacy Requirement based on the aggregated risk exposure of $125mn.",non-obligation
We expect to disclose publicly the outcome of any settlement of an enforcement action to ensure all stakeholders and the general public are clearly informed of the outcome.,obligation
"An Authorised Person must allocate to the Senior Executive Officer or to the individual holding equivalent responsibility for the conduct for the Authorised Persons business or the Governing Body, the functions of: (1) dealing with the apportionment of responsibilities; and (2) overseeing the establishment and maintenance of systems and controls. ",obligation
"The oversight panel has the authority to decree that recognized participants and bodies remit stipulated periodic dues to the regulatory agency, as detailed in the established rules.",non-obligation
The Regulator may by written notice to an Authorised Person in relation to the LCR Requirement applying to it: (a)  adjust the LCR Requirement; (b)  adjust requirements under section A10.2 of App10 for calculating its stock of HQLA or the Total Net Cash Outflows; (c)  alter the calculation methodologies or parameters for the purposes of the LCR Requirement; (d)  disapply the LCR Requirement; or (e)  impose additional requirements based on its assessment of the Liquidity Risk Exposure of that Authorised Person.,non-obligation
The Authority has the power to establish regulations that mandate the individual in question to pay fees equivalent to the costs borne by the Authority in executing duties as per paragraph (3)(b).,non-obligation
Whenever possible the Authorised Person should seek to split a mixed remittance before crediting the Client Account.,obligation
"A Relevant Person must also apply CDD measures to each existing customer under Rules 8.3.1, 8.4.1 or 8.5.1 as applicable: (a) with a frequency appropriate to the outcome of the risk-based approach taken in relation to each customer; and (b) when the Relevant Person becomes aware that any circumstances relevant to its risk assessment for a customer have changed.",obligation
Accounting and Auditing A Captive Insurer must comply with the business transfer provisions set out in Part 7 of FSMR.  ,obligation
A Scheme Report must be made in a form approved by the Regulator.,obligation
A notice under subsection (8)(b) must comply with subsection (5).,obligation
"A Trust Service Provider must prepare proper accounts, at appropriately regular intervals on the trusts and underlying companies administered for its Clients.",obligation
The Regulator may vary the discount factors to reflect the conditions of a particular market or institution.,non-obligation
"In considering whether an Approved Person remains fit and proper, the Authorised Person should consider those matters in the GPM and the notification requirements in Rule 8.10.",obligation
"We will acknowledge receipt of an application for relief and may request further information, potentially including meeting with the applicant to discuss the need for the relief sought. The time taken by us to determine the application will depend upon the complexity of the issues it raises.",obligation
"A Payment Service Provider must maintain organisational arrangements sufficient to minimise the risk of any loss of Relevant Money through fraud, misuse, negligence or poor administration.",obligation
"An Insurer must not carry on any activity other than Insurance Business unless it is an activity in direct connection with or for the purposes of such business. For the purposes of this Rule, Managing Assets is not an activity in connection with or for the purposes of Insurance Business.",obligation
"Where a Trust Service Provider arranges for a Person who is not an Employee of the Trust Service Provider to act as trustee for a Client of the Trust Service Provider, the Trust Service Provider must ensure that such Person is fit and proper.",obligation
A Fund Manager must avoid the Fund Property being used or invested contrary to any provision in this Chapter.,obligation
The Regulator may by Rules prescribe circumstances in which the prohibition in subsection (1) does not apply.,non-obligation
Annual AML Return,non-obligation
"Pursuant to the provisions detailed herein, contingent upon interpretive necessity",non-obligation
"Own estimate haircuts . If an Authorised Person fails to comply with Rule A4.3.18, the Regulator may revoke its approval for the Authorised Person to use own estimate haircuts. The Authorised Person may also be required to revise its estimates for the purpose of calculating regulatory Capital Requirements if its estimates of E*, does not adequately reflect its Exposure to Counterparty Credit Risk.  ",obligation
"If a question does not apply to you, enter 'N/A' rather than leaving it blank.",non-obligation
"As digital natives become the dominant consumer force, the success of banks may hinge on their ability to deliver tailored financial experiences.",non-obligation
"As defined in this section, agency cannot be inferred solely from the performance of consultancy duties.",non-obligation
"The company's earnings report was riddled with misleading statements, leading to an investigation.",non-obligation
Waivers during authorisation,non-obligation
"The Board reserves the right to shorten the consultation phase if deemed necessary, and in such instances, the decision must be reached within the reduced timeframe.",non-obligation
"Where an Authorised Person avails itself of CRM, the Authorised Person must have mechanisms in place to regularly assess the net realisable value of such mitigations taking into account prevailing market conditions.",obligation
Suspending a Financial Services Permission or Approval or disqualification of auditors or actuaries,obligation
"The obligation rests with the Governing Body, as per Rule 3.2.4, to",non-obligation
Each asset category is governed by distinct regulatory criteria.,non-obligation
Add-on for interest rate derivatives. Step 2: The Authorised Person must then determine the hedging set level add-on in accordance with the following formula:,obligation
"Power to require documents or information . When we require the giving of information or production of documents in the course of an investigation, we will give the person a written notice specifying what is required to be given or produced.",obligation
"Institutions must follow a prescribed procedure for reporting these deductions, as mandated by the overseeing financial authority.",non-obligation
"Before an Authorised Person places a Safe Custody Investment with a Third Party Agent or Arranges Custody through a Third Party Agent, it must: (a) undertake an assessment of that Third Party Agent and have concluded on reasonable grounds that the Third Party Agent is suitable to hold those Safe Custody Assets. (b) have systems and controls in place to ensure that the Third Party Agent remains suitable. (c) ensure that the Third Party Agent will provide protections equivalent to the protections conferred in this section.",obligation
The Regulator may by written notice direct that a particular Authorised Person or a specified class of Authorised Person specified in (2) must prepare and maintain financial statements in accordance with IFRS rather than IFRS for Small and Medium Sized Entities.,non-obligation
"Where there is a requirement to notify or obtain approval of the Regulator of an acquisition of, or increase in the level of, control under Part 10 of the Financial Services and Markets Regulations 2015 by virtue of the taking of Resolution Action that would result in a change in the level of ownership of a person by another person, the Regulator shall carry out a relevant assessment related to that notification in a timely manner that does not delay or prevent the taking of the Resolution Action.",obligation
"For the purposes of this Chapter, in determining whether a Captive Insurer is effecting Contracts of Insurance, or has ceased to effect Contracts of Insurance, including Contracts of Insurance effected through a Captive Cell or Long-Term Insurance Fund, Contracts of Insurance effected under a term of an existing Contract of Insurance shall be disregarded.",non-obligation
" A Relevant Person must comply with all applicable Rules on record keeping, regardless of whether or not it is outsourcing an element of its CDD process, see also Rule 9.3. This includes the obligation for the Relevant Person to maintain a copy of all documents obtained during initial and ongoing CDD. Where using eKYC for CDD, the Relevant Person should retain all the necessary data gathered during biometric authentication to ensure compliance with applicable Rules.",obligation
"The Regulator may, at its discretion and on its own initiative, include any person in the list of Exempt Offerors maintained by it in circumstances where the requirements prescribed by the Regulator in the Rules are met. ",non-obligation
Eligible capital Eligible capital of a Captive Insurer means an instrument or other asset that is included in calculating the Captive Insurer's minimum capital requirement under Rule 2.2.,obligation
Controlling Liquidity Risk,non-obligation
"As stipulated in subsection 9(a), the Council may elect not to enforce the standard zoning restrictions",non-obligation
"Any Evergreening exercise involving refinancing of past due credits must not result in their being classified as a higher category. In particular, impaired credits cannot be refinanced with the aim of classifying them as standard or special mention credits.",obligation
"Rule 5.3.1 provides that the Market Risk Capital Requirement of an Authorised Person is calculated as the sum of a number of Subsidiary Capital Requirements. Sections 5.4 to 5.10 set out the manner in which each of those Subsidiary Capital Requirements must be calculated, monitored and controlled by an Authorised Person.",obligation
"For the purposes of Rule 22.7.4, all references in MIR to - (a) Recognised Body or Recognised Bodies shall be read as references to Authorised Person; and (b) Financial Instrument or Financial Instruments shall be read as references to Accepted Spot Commodity or Accepted Spot Commodities, as applicable.",obligation
 ,non-obligation
"Chapter 11 sets out a Relevant Person's obligations in relation to both Sanctions issued by the UNSC and other Sanctions, and government, regulatory and international findings in relation to money laundering, terrorist financing and the financing of weapons of mass destruction (WMD).",obligation
"Disclosure to a criminal law enforcement agency. Importantly, disclosure of Confidential Information by the Regulator to a criminal law enforcement agency, whether in the U.A.E or otherwise, for the purpose of any criminal investigation or criminal proceedings under paragraph 199(1)(b)(v) is not subject to the requirements under section 199(2). ",obligation
Cash Flow Projections,non-obligation
Exclusions. Deals with or through Authorised Persons,non-obligation
Section 158 does not apply to a Non Abu Dhabi Global Market Clearing House unless it has been notified by the Regulator that a report under that section is required for the purposes of insolvency proceedings in the Court.,obligation
Transaction Limits. A Third Party Provider must ensure that its remaining professional indemnity insurance coverage is always greater than thirty times the average daily value of all Third Party Transactions in the past ninety calendar days.,obligation
"As per regulation 3.3, a supplement to the contract is to be considered an independent contract.",non-obligation
"The design of RESTful interfaces allows for streamlined data exchange, boosting efficiency for web-based communication tools.",non-obligation
Gross long positions form the basis for calculating the required deductions in CET1 Capital instruments.,non-obligation
Delegation and service level agreements,non-obligation
"When an Authorised Person passes a Client order to another Person for Execution, it must promptly make a record of the information set out in Rule 11.1.3.",obligation
"At a minimum, a Trade Repository should provide aggregate data on open positions and transaction volumes and values and categorised data (for example, aggregated breakdowns of trading counterparties, Reference Entities, or currency breakdowns of products), as available and appropriate, to the public.",obligation
Subsection (3) applies whether or not the auditor or actuary is responding to a request from the Regulator.,obligation
Counterparty Risk assessment. An Authorised Person involved in loan syndications or consortia should not rely on other parties' assessments of the Credit Risks involved but should conduct a full assessment against its own Credit Risk policy.,obligation
"The Regulator does not consider that a Person would be a customer of a Relevant Person merely because such Person receives marketing information from a Relevant Person or where a Relevant Person refers a Person who is not a customer to a third party, including a Group member.",obligation
A conclusion was drawn from the presented evidence.,non-obligation
The powers of a temporary administrator specified in an instrument of appointment under subsection (4) (a) shall be based on what is proportionate in the circumstances; and (b) shall comply with the Companies Regulations 2015.,obligation
"Ensuring adherence to Rule 3.6A.7, Category 3C entities must",non-obligation
Derivative transactions necessitate robust collateral agreements.,non-obligation
Application,non-obligation
Application of Bail-in Tool,non-obligation
Value date and availability of Money. Where: (a) the transaction does not involve a currency conversion; (b) the transaction involves only a currency conversion between the UAE Dirham and U.S. Dollars; or (c) the transaction involves only one Payment Service Provider; the Payees Payment Service Provider must ensure that the full amount of the Payment Transaction is at the Payees disposal immediately after that amount has been credited to that Payment Service Providers account.,obligation
"The membership of the Oversight Committee may comprise individuals including but not limited to non-executive members of the board of directors of the Fund, or the non-executive members of the General Partner of an Investment Partnership, or external experts, provided such individuals can meet the suitability criteria prescribed in Rule 13.3.3. The criteria include a test of independence.",obligation
"A person who, in purported compliance with any requirement falling within subsection (2) knowingly or recklessly gives the Regulator information which is false or misleading in a material particular commits a contravention of these Regulations.",obligation
"Credit RWA   Unsettled Transactions, free deliveries, Derivatives and long settlement transactions",obligation
Developing Financial Technology Services within the RegLab . FinTech Participants that qualify for authorisation under the RegLab framework will be granted an FSRA Financial Services Permission (FSP) in accordance with section 30 of the FSMR to carry on the Regulated Activity of Developing Financial Technology Services within the RegLab.,obligation
"In this Manual, all terms that are capitalized will carry the definitions set forth in the accompanying Definitions Section, barring any redefinitions in the subsequent text or as required by the context.",non-obligation
"In this paragraph, references to a Prospectus or supplementary prospectus are references to a Prospectus or supplementary prospectus which is published in accordance with Rules made under Part 6.  ",obligation
"A Relevant Person must establish and maintain effective AML/TFS policies, procedures, systems and controls to prevent opportunities for money laundering, in relation to the Relevant Person and its activities.",obligation
